product_id,product_name,brand_name,subcategory_id,cost,price,stock_quantity,supplier_id,added_date
02b1a30e,Gazelle,Adidas,6,65.00,80.00,288,1,"2022-10-24 00:00:00"
067726a7,"Forum Low",Adidas,4,70.00,90.00,909,6,"2023-06-19 00:00:00"
0ebf31b8,"Inspiron 15",Dell,2,440.00,549.00,638,8,"2023-08-11 00:00:00"
12f924fc,"Galaxy Tab S7",Samsung,3,520.00,649.00,839,2,"2023-11-11 00:00:00"
1350fb0b,Adilette,Adidas,6,18.00,25.00,902,6,"2022-10-08 00:00:00"
17e9d865,"Lack Table",IKEA,9,8.00,10.00,529,4,"2022-01-12 00:00:00"
181fdb70,"Galaxy Book",Samsung,1,800.00,999.00,561,6,"2022-12-26 00:00:00"
1997475f,"AirPods Pro",Apple,2,200.00,249.00,900,3,"2022-11-01 00:00:00"
19ec4ac2,"Galaxy M51",Samsung,3,320.00,399.00,810,10,"2022-08-24 00:00:00"
1a95d70a,"MacBook Pro",Apple,3,1100.00,1299.00,428,7,"2022-09-15 00:00:00"
1b638af7,"Alienware Aurora",Dell,2,1050.00,1299.00,216,9,"2023-07-31 00:00:00"
1ce5457e,"Galaxy Watch",Samsung,3,200.00,249.00,508,7,"2022-01-12 00:00:00"
203dcfad,"Hemnes Dresser",IKEA,7,200.00,249.00,279,9,"2022-12-18 00:00:00"
249f033a,Blazer,Nike,6,80.00,100.00,650,7,"2022-03-23 00:00:00"
25703c01,"Apple TV",Apple,1,140.00,179.00,970,3,"2023-03-13 00:00:00"
291a0675,"Mac Mini",Apple,1,580.00,699.00,62,10,"2022-07-14 00:00:00"
29f79619,"G5 Gaming Desktop",Dell,2,650.00,799.00,265,2,"2022-02-11 00:00:00"
2a0d49cb,AirTag,Apple,1,22.00,29.00,486,10,"2023-10-16 00:00:00"
2a5fd943,"Air Force 1",Nike,4,70.00,90.00,280,9,"2022-08-31 00:00:00"
2a986032,"Stan Smith",Adidas,6,65.00,85.00,625,9,"2022-08-26 00:00:00"
38592fe6,"Air Jordan",Nike,4,120.00,150.00,424,1,"2022-09-22 00:00:00"
3d7b5455,"iPhone 13",Apple,1,600.00,799.00,778,9,"2022-12-18 00:00:00"
3f3b76bc,"Besta Cabinet",IKEA,9,160.00,200.00,791,5,"2022-08-16 00:00:00"
42e0e4b6,"Metcon 7",Nike,4,100.00,130.00,298,4,"2023-05-06 00:00:00"
47520578,"PoÃ¤ng Chair",IKEA,9,482.46,152.41,369,9,"2022-02-27 00:00:00"
48f768e2,"Envy x360",HP,2,720.00,899.00,279,2,"2023-05-07 00:00:00"
49f496b8,"Galaxy S20 FE",Samsung,3,560.00,699.00,399,4,"2023-01-29 00:00:00"
4a9a5ced,"Galaxy A52",Samsung,1,400.00,499.00,929,9,"2022-04-14 00:00:00"
50a2af0c,"Pegasus 38",Nike,4,90.00,120.00,767,6,"2023-04-17 00:00:00"
51046a0e,"Zoom Fly",Nike,4,130.00,160.00,1000,3,"2022-11-24 00:00:00"
53a54351,"React Infinity",Nike,6,130.00,160.00,449,1,"2022-03-28 00:00:00"
561331c1,"iPad Air",Apple,3,480.00,599.00,285,3,"2023-04-06 00:00:00"
57d64fc4,Ultraboost,Adidas,6,140.00,180.00,694,6,"2022-11-07 00:00:00"
58e9ca69,"Kallax Shelf",IKEA,9,55.00,70.00,333,9,"2022-07-19 00:00:00"
58ff5d23,"Apple Watch",Apple,1,320.00,399.00,30,2,"2022-08-17 00:00:00"
59da47f7,"Free Run",Nike,6,80.00,100.00,291,4,"2022-11-08 00:00:00"
5ed6452d,"Galaxy Note 20",Samsung,1,850.00,999.00,911,2,"2023-08-02 00:00:00"
6110590b,"Alienware m15",Dell,2,1250.00,1499.00,245,2,"2023-08-05 00:00:00"
63708084,"Pavilion 15",HP,2,520.00,649.00,218,6,"2022-01-22 00:00:00"
66572721,"Pavilion Gaming",HP,2,640.00,799.00,12,3,"2022-02-16 00:00:00"
68fb6cf4,Superstar,Adidas,6,65.00,85.00,563,10,"2023-04-10 00:00:00"
6ade2513,"EliteBook 840",HP,2,960.00,1199.00,486,4,"2023-10-23 00:00:00"
6bb6bbfb,"Envy 13",HP,2,720.00,899.00,666,7,"2023-03-24 00:00:00"
7564f4ea,"Billy Bookcase",IKEA,9,40.00,50.00,168,2,"2022-09-20 00:00:00"
76efd843,"Air Max",Nike,4,90.00,120.00,690,2,"2023-04-08 00:00:00"
7d4d06d3,"Victus 16",HP,2,640.00,799.00,613,9,"2022-01-26 00:00:00"
823e3fc3,"Yeezy Boost",Adidas,6,180.00,220.00,264,1,"2022-01-18 00:00:00"
8308302b,"Spectre x360",HP,2,900.00,1099.00,894,6,"2023-05-05 00:00:00"
85599e46,"Strandmon Chair",IKEA,7,230.00,279.00,767,5,"2023-08-02 00:00:00"
8e41d772,Terrex,Adidas,6,100.00,120.00,877,5,"2023-07-14 00:00:00"
933c7635,"ProBook 450",HP,2,600.00,749.00,870,10,"2022-10-05 00:00:00"
9536c472,"Galaxy Z Fold",Samsung,1,1450.00,1799.00,615,10,"2023-04-16 00:00:00"
959b82c2,"NMD R1",Adidas,4,110.00,140.00,769,9,"2023-12-25 00:00:00"
96f9bbb2,"XPS 13",Dell,2,800.00,999.00,190,3,"2023-12-20 00:00:00"
99789a22,iMac,Apple,3,1100.00,1299.00,162,7,"2022-04-18 00:00:00"
9bd12a40,"Inspiron 14",Dell,2,400.00,499.00,954,4,"2023-03-09 00:00:00"
9c0bd5c5,"Galaxy Buds",Samsung,1,110.00,149.00,123,6,"2022-03-27 00:00:00"
9eb82cec,"Malm Bed",IKEA,9,160.00,199.00,85,8,"2023-06-19 00:00:00"
9f5e2fa5,"Latitude 14",Dell,2,900.00,1099.00,851,3,"2022-06-18 00:00:00"
a0794248,"Ektorp Sofa",IKEA,9,400.00,499.00,131,6,"2022-12-15 00:00:00"
aa20b209,"Dunk Low",Nike,6,80.00,100.00,100,10,"2023-02-26 00:00:00"
b104e6e3,HomePod,Apple,2,240.00,299.00,820,5,"2023-09-20 00:00:00"
ca67756d,"Galaxy S21",Samsung,1,640.00,799.00,534,7,"2023-07-05 00:00:00"
d9638f65,"ZBook Power",HP,2,1250.00,1499.00,271,2,"2023-10-29 00:00:00"
dd9ae999,"ZX 2K Boost",Adidas,6,120.00,150.00,149,10,"2023-09-02 00:00:00"
e4eda0ea,"XPS 15",Dell,2,960.00,1199.00,809,6,"2022-12-28 00:00:00"
e882e7ae,"Omen 30L",HP,2,1050.00,1299.00,116,8,"2023-10-09 00:00:00"
ecc510e9,"Vostro 15",Dell,2,520.00,649.00,876,7,"2023-06-15 00:00:00"
f18e88dc,"FjÃ¤llbo Shelf",IKEA,9,479.54,73.74,446,3,"2022-03-17 00:00:00"
f2ca88d3,"Precision 3560",Dell,2,1150.00,1399.00,75,9,"2023-12-24 00:00:00"
